ZINC000100029668
ZINC000013828184
ZINC000011616768
ZINC000003927822
ZINC000001915508
ZINC000061720810
ZINC000044920922
ZINC000044902594
ZINC000061720742
ZINC000049550244
ZINC000044918907
ZINC000044900417
ZINC000067723357
ZINC000044920210
ZINC000040286975
ZINC000019376164
ZINC000575440925
ZINC000049545203
ZINC000061719652
ZINC000095508474
ZINC000095508473
ZINC000091915411
ZINC000091915410
ZINC000009481922
ZINC000036359390
ZINC000252478894
ZINC000252478893
ZINC000252478891
ZINC000252478892
ZINC000091427213
ZINC000091427210
ZINC000604419398
ZINC000040267561
ZINC000036353522
ZINC000020533909
ZINC000426548883
ZINC000426548882
ZINC000575444519
ZINC000253412556
ZINC000019460274
ZINC000019460276
ZINC000019590012
ZINC000044891682
ZINC000299789036
ZINC000299766584
ZINC000299766581
ZINC000670467194
ZINC000670467195
ZINC000036358472
ZINC000036357082
ZINC000002568290
ZINC000034120547
ZINC000244884333
ZINC000244884332
ZINC000040286514
ZINC000019376160
ZINC000009577562
ZINC000670437070
ZINC000670437071
ZINC000222669013
ZINC000222669073
ZINC000091351473
ZINC000091351475
ZINC000044918689
ZINC000049545657
ZINC000044893122
ZINC000072463215
ZINC000040285905
ZINC000040285416
ZINC000034091287
ZINC000036358187
ZINC000170625439
ZINC000299768734
ZINC000082109457
ZINC000082109456
ZINC000012390938
ZINC000044900785
ZINC001506431586
ZINC000012651911
ZINC000019079163
ZINC000019079161
ZINC000077516290
ZINC000077516293
ZINC000091364527
ZINC000091351477
ZINC000091364528
ZINC000091351478
ZINC000252492055
ZINC000036358876
ZINC000095506950
ZINC000218890996
ZINC000013685994
ZINC000071279094
ZINC000071279093
ZINC000095380830
ZINC000426588988
ZINC000044126988
ZINC000329013569
ZINC000010276784
ZINC000040268177
ZINC000091746150
ZINC000091746149
ZINC000034453103
ZINC000072402829
ZINC000072402828
ZINC000013721992
ZINC000072404075
ZINC000080332098
ZINC000534648547
ZINC000534648548
ZINC000036357586
ZINC000013629033
ZINC000670450668
ZINC000309360626
ZINC000044901101
ZINC000013683722
ZINC000584888488
ZINC000584888487
ZINC000072402163
ZINC000080329450
ZINC000040285309
ZINC000244873450
ZINC000299772165
ZINC000299772166
ZINC000013720232
ZINC000299785660
ZINC000299766591
ZINC000299766597
ZINC000091620052
ZINC000072401475
ZINC000040286758
ZINC000072468066
ZINC000072468064
ZINC000036358917
ZINC000006702769
ZINC000097102750
ZINC000097102749
ZINC000091365903
ZINC000091351485
ZINC000013689868
ZINC000244619943
ZINC000079440593
ZINC000040285518
ZINC000019523564
ZINC000019523563
ZINC000242554653
ZINC000100173839
ZINC001506408719
ZINC000604419294
ZINC000585124980
ZINC000065404752
ZINC000952872063
ZINC000952872059
ZINC000036366227
ZINC000329037963
ZINC000036357826
ZINC000009476900
ZINC000670443357
ZINC000095530717
ZINC000039325985
ZINC000009875763
ZINC000006702241
ZINC000061720123
ZINC000079440710
ZINC000098181657
ZINC000098181658
ZINC000013730324
ZINC000408712692
ZINC000020135232
ZINC000069771015
ZINC000007985208
ZINC000007985207
ZINC000091351483
ZINC000091351481
ZINC000244691552
ZINC000329023919
ZINC000006703630
ZINC000040285037
ZINC000013624299
ZINC000040266937
ZINC000006702871
ZINC000040285631
ZINC000299786889
ZINC000824864453
ZINC000012360254
ZINC000013730935
ZINC000083986752
ZINC000095362587
ZINC000186854116
ZINC000013729157
ZINC000013726036
ZINC000013691705
ZINC000057151971
ZINC000013728948
ZINC000243893784
ZINC000072402054
ZINC000009420184
ZINC000013726939
ZINC000426509278
ZINC000426509280
ZINC000013693275
ZINC000009481916
ZINC000008991703
ZINC000009420005
ZINC000225513052
ZINC000225513081
ZINC000013691371
ZINC000071297195
ZINC000080330563
ZINC000072403675
ZINC000034325868
ZINC000009048087
ZINC000071287438
ZINC000013624908
ZINC000009876014
ZINC000013687942
ZINC000020624897
ZINC000299802373
ZINC000009486220
ZINC000244893041
ZINC000013722568
ZINC000215508752
ZINC000012360255
ZINC000009875212
ZINC000013693691
ZINC000823413003
ZINC000072401764
ZINC000020650162
ZINC000069629145
ZINC000009875175
ZINC000065526580
ZINC000426370170
ZINC000009481919
ZINC000009875300
ZINC000013734307
ZINC000252495601
ZINC000072400578
ZINC000072401413
ZINC000013720704
ZINC000670446958
ZINC000822992438
ZINC000009875095
ZINC000244884414
ZINC000057151949
ZINC000098181700
ZINC000071282532
ZINC000067947525
ZINC000020591860
ZINC000009053464
ZINC000013724237
ZINC000013691639
ZINC000013692250
ZINC000077423223
ZINC000077423227
ZINC000069659604
ZINC000005348490
ZINC000057156131
ZINC000020624365
ZINC000009481914
ZINC000252505413
ZINC000013723459
ZINC000040268705
ZINC000072404374
ZINC000080337672
ZINC000188234049
ZINC000013693703
ZINC000013729849
ZINC000013734201
ZINC000223769203
ZINC000013628326
ZINC000036358692
ZINC000009875054
ZINC000013729843
ZINC000299795125
ZINC000091876642
ZINC000019019186
ZINC000019019183
ZINC000009047190
ZINC000009875336
ZINC000013690165
ZINC000223919040
ZINC000000538550
ZINC000009135210
ZINC000015082177
ZINC000009051305
ZINC000091656203
ZINC000219981990
ZINC000219406994
ZINC000082161407
ZINC000534629882
ZINC000534629879
ZINC000072401113
ZINC000072400882
ZINC000001040359
ZINC000005041415
ZINC000036355059
ZINC000585125357
ZINC000585124950
ZINC000069708633
ZINC000147000691
ZINC000013730576
ZINC000069704605
ZINC000426440238
ZINC000426440237
ZINC000040160533
ZINC000040160534
ZINC000069663053
ZINC000069582441
ZINC000244685632
ZINC000069667561
ZINC000069667565
ZINC000013735797
ZINC000077437689
ZINC000222973644
ZINC000244899911
ZINC000022008785
ZINC000033548445
ZINC000033548446
ZINC000013688256
ZINC000215370007
ZINC000013692964
ZINC000057406239
ZINC000057406240
